FID,id,rute_nr,rutenavn,status,kategori,under_kategori,kommune,ogc_fid,wkb_geometry
cykeldata_kk.fid-2b80431e_19460c4a556_6bab,576,,,Eksisterende,Cykelmulighed,Grøn,København,64,"MULTILINESTRING ((12.52613438304438 55.714879434821945, 12.527329693425816 55.71499579051918))"
cykeldata_kk.fid-2b80431e_19460c4a556_6bac,844,,,Eksisterende,Cykelmulighed,Grøn,København,65,"MULTILINESTRING ((12.525778949518651 55.71714964126282, 12.525768380382354 55.71725020034742, 12.52576832884127 55.71733969274249, 12.525772955130712 55.717443875980535, 12.525774235196323 55.71750784275175, 12.525784810124518 55.71765960122009, 12.525787696995335 55.71776775085574, 12.525789882856381 55.71783082109464, 12.525795423848141 55.7179634468999, 12.525792853937434 55.71810097367917, 12.52569708582815 55.71824906958249))"
cykeldata_kk.fid-2b80431e_19460c4a556_6bad,847,,,Eksisterende,Cykelmulighed,Grøn,København,66,"MULTILINESTRING ((12.525778949518651 55.71714964126282, 12.52575692044579 55.71672181853715, 12.525755816691891 55.71670063097337))"
cykeldata_kk.fid-2b80431e_19460c4a556_6bae,568,,,Eksisterende,Cykelmulighed,Grøn,København,67,"MULTILINESTRING ((12.525752059870918 55.716701986040775, 12.52697626167661 55.716685409399744))"
cykeldata_kk.fid-2b80431e_19460c4a556_6baf,570,,,Eksisterende,Cykelmulighed,Grøn,København,68,"MULTILINESTRING ((12.523329922002887 55.71673710313325, 12.525752059870918 55.716701986040775))"
cykeldata_kk.fid-2b80431e_19460c4a556_6bb0,572,,,Eksisterende,Cykelmulighed,Grøn,København,69,"MULTILINESTRING ((12.523064228101687 55.71674176225141, 12.52168727836689 55.716774561099285, 12.521581926604409 55.71683370610697))"
cykeldata_kk.fid-2b80431e_19460c4a556_6bb1,749,,,Eksisterende,Cykelmulighed,Grøn,København,70,"MULTILINESTRING ((12.588727696188897 55.65459657407063, 12.588555294149302 55.654600751563244, 12.588432810846866 55.654577436329625, 12.588281497903456 55.65452964634949, 12.58785691536532 55.654259200178345))"
cykeldata_kk.fid-2b80431e_19460c4a556_6bb2,475,,,Eksisterende,Cykelmulighed,,København,71,"MULTILINESTRING ((12.575428812112781 55.67710838763649, 12.575359961246752 55.677076915496876, 12.575211501018227 55.67700223978136, 12.57511931593132 55.67695542511796, 12.575063726291509 55.67692786609033, 12.575023781568676 55.67691083626408, 12.57498383688051 55.676893806424644, 12.574917519308515 55.67686692540244, 12.574851201827393 55.676840044344026, 12.574849175770915 55.67683908328648, 12.574726416538507 55.67679153278565, 12.574671200564111 55.67677088625688, 12.574666800717536 55.676769443529885, 12.574616146548607 55.67675283380948, 12.574444337794661 55.676695857264825, 12.574389774963349 55.67667776893416, 12.574362355497831 55.676668673323185, 12.57435125481669 55.67666499073679))"
cykeldata_kk.fid-2b80431e_19460c4a556_6bb3,577,,,Eksisterende,Cykelmulighed,Grøn,København,72,"MULTILINESTRING ((12.523883437662322 55.71467233331596, 12.52613438304438 55.714879434821945))"
cykeldata_kk.fid-2b80431e_19460c4a556_6bb4,905,,,Eksisterende,Cykelmulighed,,København,73,"MULTILINESTRING ((12.603664153054977 55.6615181619217, 12.603531328228618 55.66146647426526, 12.603180827715416 55.66130559631411, 12.602913864875434 55.661144215057995, 12.602704988935136 55.66102635545479, 12.602313350743609 55.660839323366346))"
