ogc_fid,geo_point_2d,anne_maj,lametro,type,name,geo_shape,geometry
1961,"45.16255,5.72395",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.72395,45.16255],[5.72398,45.16182],[5.724,45.16134],[5.72411,45.15938]]}","LINESTRING (637187.1993261583 5647148.060213279, 637190.5389108821 5647032.809957881, 637192.765300698 5646957.029772752, 637205.0104446851 5646647.60064264)"
1962,"45.16255,5.72395",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.72395,45.16255],[5.72395,45.16283]]}","LINESTRING (637187.1993261583 5647148.060213279, 637187.1993261583 5647192.2661825325)"
1963,"45.16283,5.72395",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.72395,45.16283],[5.72392,45.16455]]}","LINESTRING (637187.1993261583 5647192.2661825325, 637183.8597414345 5647463.821903122)"
1964,"45.16074,5.72047",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.72047,45.16074],[5.72057,45.16112],[5.72062,45.1615],[5.72089,45.16296],[5.72116,45.16455]]}","LINESTRING (636799.8074981977 5646862.30543914, 636810.9394472771 5646922.297401267, 636816.5054218167 5646982.289763523, 636846.5616843308 5647212.790456396, 636876.6179468451 5647463.821903122)"
1965,"45.161,5.72866",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.72866,45.161],[5.72856,45.16296],[5.72854,45.16331]]}","LINESTRING (637711.5141277945 5646903.352527895, 637700.3821787152 5647212.790456396, 637698.1557888993 5647268.048349582)"
1967,"45.14752,5.72004",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.72004,45.14752],[5.72057,45.14922]]}","LINESTRING (636751.9401171566 5644775.465689098, 636810.9394472771 5645043.791637315)"
1953,"45.14808,5.73516",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.73516,45.14808],[5.73525,45.14812],[5.73528,45.14822],[5.73533,45.14834],[5.73546,45.14843],[5.73566,45.14848],[5.73577,45.14844],[5.73588,45.1484],[5.73595,45.14839],[5.73604,45.1484],[5.73624,45.14845],[5.73647,45.14853],[5.73663,45.1486],[5.73681,45.14867],[5.73708,45.14873],[5.73738,45.14882],[5.73762,45.14887],[5.73782,45.1489],[5.73809,45.14895],[5.7383,45.14897],[5.73852,45.149],[5.73867,45.14902],[5.73897,45.14906],[5.7392,45.1491],[5.73937,45.14913],[5.73965,45.14918],[5.73991,45.14925]]}","LINESTRING (638435.0908179509 5644863.854529322, 638445.1095721222 5644870.168051138, 638448.4491568462 5644885.951875061, 638454.0151313858 5644904.89250032, 638468.4866651888 5644919.097995433, 638490.7505633475 5644926.989946856, 638502.9957073347 5644920.676385164, 638515.2408513221 5644914.3628279045, 638523.0332156776 5644912.784439282, 638533.0519698489 5644914.3628279045, 638555.3158680075 5644922.254775172, 638580.9193508901 5644934.8819052, 638598.730469417 5644945.930658512, 638618.7679777597 5644956.979425394, 638648.8242402739 5644966.449807805, 638682.2200875119 5644980.655400115, 638708.9367653023 5644988.547405534, 638731.200663461 5644993.282612109, 638761.2569259751 5645001.174628605, 638784.6340190417 5645004.3314371435, 638809.1243070163 5645009.066652025, 638825.8222306352 5645012.223463331, 638859.2180778732 5645018.537089267, 638884.8215607557 5645024.8507196335, 638903.7458741906 5645029.585945315, 638934.9153316127 5645037.477993659, 638963.8583992189 5645048.526872969)"
1954,"45.14925,5.73991",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.73991,45.14925],[5.73998,45.14935],[5.74006,45.14941],[5.74014,45.14946],[5.74028,45.14948],[5.7404,45.14946],[5.74052,45.14943],[5.74061,45.14938],[5.74066,45.14934],[5.74081,45.14936],[5.74109,45.14939],[5.74153,45.14946],[5.74173,45.1495],[5.74207,45.14956],[5.7423,45.14963],[5.74256,45.1497],[5.74287,45.14979],[5.74339,45.14995],[5.74384,45.15007],[5.74424,45.1502],[5.74462,45.15037],[5.7456,45.15081],[5.74688,45.15157],[5.74874,45.15278]]}","LINESTRING (638963.8583992189 5645048.526872969, 638971.6507635745 5645064.311009807, 638980.5563228378 5645073.781505203, 638989.4618821014 5645081.673592314, 639005.0466108124 5645084.830429098, 639018.4049497076 5645081.673592314, 639031.7632886028 5645076.938339216, 639041.7820427743 5645069.046256259, 639047.3480173139 5645062.7325948775, 639064.0459409328 5645065.889425015, 639095.2153983549 5645070.624672295, 639144.195974304 5645081.673592314, 639166.4598724627 5645087.98726699, 639204.3084993324 5645097.457787309, 639229.9119822148 5645108.50674028, 639258.8550498211 5645119.555706823, 639293.364091967 5645133.761540887, 639351.2502271795 5645159.016412388, 639401.3439980363 5645177.957612539, 639445.8717943537 5645198.477291036, 639488.1732008553 5645225.310787385, 639597.2663018325 5645294.762561353, 639739.755250048 5645414.725979274, 639946.8095029235 5645605.723669276)"
1957,"45.15973,5.72007",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.72007,45.15973],[5.71994,45.15925],[5.71988,45.15873]]}","LINESTRING (636755.2797018803 5646702.855063767, 636740.8081680773 5646627.077658381, 636734.1289986296 5646544.986189595)"
1959,"45.15873,5.71988",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.71988,45.15873],[5.72093,45.15867],[5.72121,45.15864],[5.72146,45.15858],[5.72175,45.15847],[5.72208,45.15832],[5.72223,45.15824],[5.7227,45.158],[5.72286,45.15793],[5.72291,45.15789],[5.72296,45.15781],[5.72301,45.15772],[5.72304,45.15763],[5.72309,45.15743],[5.72315,45.15726],[5.72324,45.15718],[5.72336,45.1571],[5.72345,45.15707],[5.72388,45.15701],[5.72474,45.1569]]}","LINESTRING (636734.1289986296 5646544.986189595, 636851.0144639625 5646535.514145252, 636882.1839213847 5646530.77812682, 636910.013794083 5646521.306097439, 636942.296446413 5646503.940736144, 636979.0318783747 5646480.260752041, 636995.7298019938 5646467.631452674, 637048.0499626666 5646429.743660963, 637065.8610811936 5646418.693085108, 637071.4270557333 5646412.37847643, 637076.9930302729 5646399.74927237, 637082.5590048126 5646385.541438996, 637085.8985895364 5646371.333628061, 637091.464564076 5646339.760795223, 637098.1437335237 5646312.923974439, 637108.162487695 5646300.294910007, 637121.5208265902 5646287.665863308, 637131.5395807616 5646282.929975367, 637179.4069618027 5646273.458206965, 637275.141723885 5646256.09332413)"
1944,"45.16164,5.74444",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.74444,45.16164],[5.7445,45.16166],[5.74454,45.16168],[5.74469,45.16171],[5.74485,45.16172],[5.74503,45.16175],[5.74539,45.16186],[5.74566,45.16198],[5.74582,45.16207],[5.74591,45.16215],[5.74599,45.16224],[5.74608,45.16238],[5.74619,45.16255],[5.74623,45.16258]]}","LINESTRING (639468.1356925124 5647004.39231364, 639474.81486196 5647007.549825233, 639479.2676415917 5647010.7073379345, 639495.9655652108 5647015.443609064, 639513.7766837376 5647017.022366663, 639533.8141920804 5647021.758641118, 639573.8892087662 5647039.125002128, 639603.9454712803 5647058.070161469, 639621.7565898071 5647072.279057162, 639631.7753439785 5647084.909205509, 639640.680903242 5647099.1181436, 639650.6996574134 5647121.220980801, 639662.9448014006 5647148.060213279, 639667.3975810324 5647152.7965567345)"
