mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre,latitude,longitude,geometry,rayon
1053,"45.1771166557111,5.71096248500053",2,nouveau modèle,20110101000000,45.1771166557111,5.71096248500053,POINT (635741.4357697472 5649448.109835354),7.0710678118654755
1054,"45.1679609821504,5.7120012082876",2,nouveau modèle,20110101000000,45.1679609821504,5.7120012082876,POINT (635857.065917139 5648002.376223785),7.0710678118654755
1055,"45.1799935772306,5.71310648714489",4,nouveau modèle,20100101000000,45.1799935772306,5.71310648714489,POINT (635980.1049967172 5649902.440316515),10.0
1056,"45.1780905696803,5.71021590467196",2,nouveau modèle,20120101000000,45.1780905696803,5.71021590467196,POINT (635658.3268277346 5649601.9101407025),7.0710678118654755
1057,"45.1904715177976,5.73295064643552",3,nouveau modèle,20110101000000,45.1904715177976,5.73295064643552,POINT (638189.1467041706 5651557.336402434),8.660254037844386
1058,"45.1887165899208,5.73726100760282",2,nouveau modèle,19900101000000,45.1887165899208,5.73726100760282,POINT (638668.9739144496 5651280.140155651),7.0710678118654755
1059,"45.1884840147958,5.72968621446692",2,nouveau modèle,19900101000000,45.1884840147958,5.72968621446692,POINT (637825.7517996968 5651243.4048418915),7.0710678118654755
1060,"45.1895455549923,5.73434106191839",4,nouveau modèle,19900101000000,45.1895455549923,5.73434106191839,POINT (638343.9270477148 5651411.076669023),10.0
1061,"45.1903110240388,5.7365964396208",4,nouveau modèle,20100101000000,45.1903110240388,5.7365964396208,POINT (638594.9945450936 5651531.9855653485),10.0
1062,"45.1882112782195,5.71697971289919",4,nouveau modèle,20110101000000,45.1882112782195,5.71697971289919,POINT (636411.2705154131 5651200.326205553),10.0
1063,"45.1868892361076,5.71716154752189",4,nouveau modèle,20120101000000,45.1868892361076,5.71716154752189,POINT (636431.5122530207 5650991.513092452),10.0
1064,"45.18709693214,5.71648901053955",2,nouveau modèle,20120101000000,45.18709693214,5.71648901053955,POINT (636356.645778607 5651024.317819469),7.0710678118654755
1065,"45.1860900815192,5.71642996113765",3,nouveau modèle,20110101000000,45.1860900815192,5.71642996113765,POINT (636350.0724292558 5650865.291055534),8.660254037844386
1066,"45.1880467155176,5.71976077770847",2,nouveau modèle,20120101000000,45.1880467155176,5.71976077770847,POINT (636720.8572338453 5651174.333690523),7.0710678118654755
1067,"45.1843342196577,5.72378885408765",3,nouveau modèle,20100101000000,45.1843342196577,5.72378885408765,POINT (637169.2606452521 5650587.968632261),8.660254037844386
1068,"45.1851773217979,5.72234019969713",5,nouveau modèle,20110101000000,45.1851773217979,5.72234019969713,POINT (637007.997176164 5650721.127885419),11.180339887498949
1069,"45.1879639874663,5.72550901396431",2,nouveau modèle,19990101000000,45.1879639874663,5.72550901396431,POINT (637360.7479668049 5651161.266905515),7.0710678118654755
1070,"45.1879366593089,5.7251205204688",4,nouveau modèle,19900101000000,45.1879366593089,5.7251205204688,POINT (637317.5010687081 5651156.950463796),10.0
1071,"45.1877398251162,5.72417097677525",3,nouveau modèle,19900101000000,45.1877398251162,5.72417097677525,POINT (637211.7983482563 5651125.860857711),8.660254037844386
1072,"45.186335117489,5.72327855072677",5,nouveau modèle,20110101000000,45.186335117489,5.72327855072677,POINT (637112.4539349687 5650903.992940174),11.180339887498949
1073,"45.1938062257511,5.73265486793346",4,nouveau modèle,20110101000000,45.1938062257511,5.73265486793346,POINT (638156.2207919337 5652084.087315084),10.0
1074,"45.1891399175201,5.71599212935267",2,nouveau modèle,20120101000000,45.1891399175201,5.71599212935267,POINT (636301.3332178987 5651347.005267659),7.0710678118654755
1075,"45.1889786524218,5.7164481173595",3,nouveau modèle,19900101000000,45.1889786524218,5.7164481173595,POINT (636352.0935706269 5651321.53318953),8.660254037844386
1076,"45.1942370872299,5.73146910927349",2,nouveau modèle,19900101000000,45.1942370872299,5.73146910927349,POINT (638024.2227417022 5652152.148503288),7.0710678118654755
